city,model,artifact_model_key,prediction_file,prediction_sha256
Toronto,CITER-MoE-Detect,citer_moe_detect,artifacts/final_model/predictions.parquet,3fbde16d9750efa858a7a5eb982ed42b315affd740b53852e01b70f9aa585aa5
Toronto,CITER-MoE-Router,citer_moe_stack,artifacts/final_model/predictions.parquet,3fbde16d9750efa858a7a5eb982ed42b315affd740b53852e01b70f9aa585aa5
Toronto,Conditional survival,conditional_survival,artifacts/toronto_experts/predictions.parquet,26ceeea2884d003ca50e7bc0de438ae28f650e0ed750643d2253d0f6dac5713a
Toronto,CITER-Detect,citer_dynamic_exposure,artifacts/toronto_experts/predictions.parquet,26ceeea2884d003ca50e7bc0de438ae28f650e0ed750643d2253d0f6dac5713a
Toronto,CatBoost,catboost,artifacts/toronto_experts/predictions.parquet,26ceeea2884d003ca50e7bc0de438ae28f650e0ed750643d2253d0f6dac5713a
Toronto,Fine-tuned MiniLM,finetuned_minilm,artifacts/toronto_experts/predictions.parquet,26ceeea2884d003ca50e7bc0de438ae28f650e0ed750643d2253d0f6dac5713a
Toronto,Duration x demand,btm_lgbm_duration,artifacts/toronto_experts/predictions.parquet,26ceeea2884d003ca50e7bc0de438ae28f650e0ed750643d2253d0f6dac5713a
Toronto,CITER-Burden,direct_exposure_lgbm,artifacts/toronto_experts/predictions.parquet,26ceeea2884d003ca50e7bc0de438ae28f650e0ed750643d2253d0f6dac5713a
Toronto,CITER-Rank,exposure_lambdamart,artifacts/toronto_experts/predictions.parquet,26ceeea2884d003ca50e7bc0de438ae28f650e0ed750643d2253d0f6dac5713a
New York,CITER-MoE-Router,citer_moe_stack,artifacts/final_model/predictions.parquet,3fbde16d9750efa858a7a5eb982ed42b315affd740b53852e01b70f9aa585aa5
New York,CITER-Burden,direct_exposure_lgbm,artifacts/new_york_experts/predictions.parquet,608118d79193b6c20711be891b1877b02fb5f65f1eccbbb6e988e7b08a17ca32
New York,CITER-Detect,citer_detect,artifacts/new_york_experts/predictions.parquet,608118d79193b6c20711be891b1877b02fb5f65f1eccbbb6e988e7b08a17ca32
New York,CITER-Rank,exposure_lambdamart,artifacts/new_york_experts/predictions.parquet,608118d79193b6c20711be891b1877b02fb5f65f1eccbbb6e988e7b08a17ca32
New York,Native CatBoost,native_catboost,artifacts/new_york_experts/predictions.parquet,608118d79193b6c20711be891b1877b02fb5f65f1eccbbb6e988e7b08a17ca32
New York,Duration x demand,text_structured_lgbm_duration,artifacts/new_york_experts/predictions.parquet,608118d79193b6c20711be891b1877b02fb5f65f1eccbbb6e988e7b08a17ca32
New York,CITER-MoE-Detect,citer_moe_detect,artifacts/final_model/predictions.parquet,3fbde16d9750efa858a7a5eb982ed42b315affd740b53852e01b70f9aa585aa5
New York,Multi-task survival,mtdnn_survival,artifacts/new_york_experts/predictions.parquet,608118d79193b6c20711be891b1877b02fb5f65f1eccbbb6e988e7b08a17ca32
New York,Fine-tuned MiniLM,finetuned_minilm,artifacts/new_york_experts/predictions.parquet,608118d79193b6c20711be891b1877b02fb5f65f1eccbbb6e988e7b08a17ca32
